52057404	36	-91	15	52	10	-383	441
52061556	36	-82	12	47	-190	-409	276
52065737	36	-74	13	43	-134	-340	-223
52069991	36	-67	16	41	-85	-222	-639
52074146	36	-59	19	38	-194	-37	-773
52078387	36	-53	17	35	-395	171	-653
52082550	36	-46	14	33	-301	289	-277
52086728	36	-40	10	33	-173	430	-24
52090974	36	-36	9	31	275	424	-50
52095132	36	-32	11	29	633	461	-271
52099413	36	-28	14	28	898	298	-521
52103582	36	-24	15	23	787	193	-482
52107744	36	-21	14	19	384	42	-294
52111907	36	-18	11	15	165	-132	-205
52116070	36	-16	7	14	-93	-186	-120
52120305	36	-16	7	13	-120	-434	-153
52124474	36	-16	10	12	-2	-497	-337
52128692	36	-17	13	13	34	-422	-346
52132894	36	-16	15	13	-168	21	-213
52137076	36	-14	14	15	-375	318	-164
52141324	36	-11	9	17	-305	494	-306
52145485	36	-8	6	19	-62	630	-432
52149732	36	-6	4	18	329	534	-479
52153892	36	-6	6	16	872	407	-518
52158069	36	-7	10	16	1027	75	-227
52162221	36	-7	10	15	634	226	261
52166368	36	-5	7	12	128	185	674
52170542	36	-3	2	10	-305	10	684
52174712	36	-2	0	11	-531	-160	243
52178878	36	-4	-1	11	-530	-542	-138
52183140	36	-7	2	9	-324	-628	-163
52187320	36	-10	7	10	-408	-494	171
52191690	36	-10	8	11	-598	146	499
52195993	36	-8	7	12	-660	534	632
52200297	36	-5	4	14	-480	734	305
52204652	36	-2	3	14	-25	713	-177
52208937	36	-1	2	14	473	404	-324
52213340	36	-1	6	11	1056	218	-223
52217632	36	-2	10	10	987	115	84
52221937	36	-2	8	10	624	238	537
52226204	36	1	5	8	111	77	796
52230498	36	2	3	9	-136	-66	417
52234798	36	2	4	10	-133	-455	-287
52239070	36	-1	7	11	-68	-775	-883
52243474	36	-5	10	11	-120	-648	-1028
52247751	36	-8	11	12	-458	-318	-734
52252151	36	-7	11	13	-565	288	-447
52256420	36	-5	8	13	-734	634	-361
52260720	36	-2	5	13	-392	776	-488
52265093	36	0	7	13	138	506	-822
52269383	36	1	8	12	611	195	-951
52273704	36	1	7	10	773	100	-505
52277991	36	1	5	10	594	98	46
52282271	36	2	4	6	297	53	458
52286550	36	4	2	5	-136	-74	691
52290846	36	3	0	6	-370	-194	559
52295122	36	1	2	9	-319	-728	370
52299429	36	-2	5	10	-274	-978	376
52303789	36	-6	6	10	-565	-562	578
52308076	36	-7	3	11	-741	-51	873
52312365	36	-4	0	14	-895	295	965
52316761	36	-1	0	13	-696	538	748
52321040	36	1	0	10	-282	736	561
52325420	36	1	0	11	81	425	671
52329714	36	1	2	11	515	-143	820
52334023	36	0	2	10	544	-134	1004
52338374	36	1	-2	8	374	174	1650
52342650	36	5	-5	6	111	149	2271
52346961	36	7	-4	6	-26	-135	2057
52351251	36	6	-1	7	-75	-433	1523
52407276	36	6	0	7	-191	-568	1345
52411616	36	4	1	9	-531	-498	1172
52415793	36	1	1	11	-713	-487	769
52419959	36	-1	-1	9	-604	-223	431
52424117	36	-2	-1	7	-359	309	222
52428390	36	1	0	4	-62	622	277
52432539	36	4	1	4	262	510	562
52436734	36	5	4	4	801	165	971
52440951	36	5	3	5	593	44	1372
52445113	36	2	3	4	405	-103	1473
52449384	36	0	3	3	49	-234	1286
52453544	36	0	1	7	-185	-234	878
52457802	36	1	3	9	-280	-57	651
52461964	36	-1	1	15	-671	42	656
52466127	36	-2	-1	18	-724	-274	762
52470290	36	-2	-1	18	-829	-322	824
52474463	36	-3	-1	17	-792	-127	698
52478629	36	-5	-1	15	-654	26	525
52482790	36	-5	0	11	-268	303	411
52486970	36	-2	2	7	183	546	388
52491222	36	2	5	9	668	428	552
52495390	36	5	6	8	764	207	768
52499599	36	5	7	5	719	118	618
52503753	36	2	9	5	710	-156	277
52507902	36	0	9	7	349	-391	-17
52512159	36	0	9	7	62	-375	-274
52516304	36	-1	9	8	-128	-176	-423
52520531	36	-2	11	13	-304	-27	-367
52524707	36	-2	9	16	-740	-146	-138
52528861	36	-2	3	15	-839	-253	-71
52533037	36	-4	2	14	-533	-149	-247
52537217	36	-6	3	15	-292	-18	-456
52541364	36	-5	3	10	-40	139	-654
52545540	36	-3	3	6	173	349	-619
52549700	36	1	3	7	458	495	-194
52553941	36	3	1	8	306	430	238
52558113	36	5	-3	5	430	23	462
52562370	36	3	-2	5	599	-284	563
52566519	36	0	0	10	390	-490	418
52570913	36	-2	2	10	116	-465	330
52575212	36	-3	3	14	-359	-124	345
52579511	36	-2	3	16	-645	-176	395
52583886	36	-1	1	16	-1062	-263	419
52588182	36	-1	-3	13	-873	-179	388
52592457	36	-3	-3	8	-293	-210	575
52596755	36	-5	0	9	17	-163	772
52601034	36	-4	4	7	372	58	799
52605316	36	0	6	6	458	283	928
52609619	36	2	7	5	580	365	824
52613996	36	3	8	4	524	287	334
52618280	36	3	7	6	568	-36	277
52622644	36	2	9	4	625	-314	485
52626953	36	-1	12	6	370	-361	794
52631244	36	-2	12	9	-140	-220	1230
52635640	36	-1	9	13	-720	-298	1265
52639930	36	0	5	15	-832	-418	974
52644313	36	-1	-1	16	-1080	-210	529
52648591	36	-2	-6	15	-889	-266	71
52652862	36	-3	-8	12	-436	-315	-161
52657167	36	-4	-5	9	-108	58	-78
52661450	36	-2	-2	4	77	437	215
52665751	36	1	0	5	234	514	353
52670038	36	4	1	6	555	357	315
52674361	36	5	1	5	630	24	174
52678647	36	3	0	6	817	-229	65
52682917	36	0	2	7	768	-172	207
52687320	36	-3	7	11	468	-199	335
52691609	36	-3	11	14	92	-218	352
