95527938	36	-58	-58	-58	332	-3420	-1655	-1615	-1385	-834
95532888	36	-47	-47	-47	-255	-2520	-1809	-1604	-1382	-841
95537205	36	-32	-32	-32	-809	-1537	-3071	-1591	-1380	-852
95541532	36	-14	-14	-14	-642	-700	-4073	-1576	-1377	-868
95545890	36	-5	-5	-5	-1559	-124	-3125	-1560	-1378	-879
95550157	36	5	5	5	-2166	-818	-1272	-1548	-1381	-883
95554425	36	26	26	26	-2395	-2696	-247	-1544	-1384	-883
95558824	36	41	41	41	-2844	-3397	457	-1544	-1389	-880
95563078	36	53	53	53	-2555	-3107	322	-1543	-1392	-877
95567456	36	63	63	63	-1457	-2950	-747	-1543	-1391	-879
95571734	36	63	63	63	442	-1191	-622	-1537	-1383	-879
95576016	36	62	62	62	1384	-238	-783	-1528	-1371	-880
95580363	36	71	71	71	680	-961	-1329	-1522	-1362	-883
95584648	36	76	76	76	-1988	-1231	-1093	-1517	-1363	-885
95588945	36	74	74	74	-4178	-2087	209	-1516	-1373	-882
95593210	36	83	83	83	-4675	-3581	783	-1521	-1384	-877
95597501	36	90	90	90	-4330	-2806	860	-1524	-1393	-872
95601771	36	96	96	96	-1614	-2086	998	-1524	-1393	-866
95606031	36	100	100	100	1419	-1751	-48	-1523	-1380	-864
95610420	36	94	94	94	2102	-910	-407	-1519	-1365	-863
95614698	36	90	90	90	1711	-1348	-944	-1516	-1352	-864
95619109	36	95	95	95	-488	-1567	-1912	-1515	-1347	-869
95623368	36	95	95	95	-3381	-1641	-1647	-1514	-1353	-873
95627762	36	94	94	94	-4274	-2222	-101	-1515	-1362	-871
95632041	36	102	102	102	-3429	-2929	1712	-1519	-1368	-862
95636335	36	102	102	102	-1236	-2032	2480	-1520	-1366	-850
95640688	36	98	98	98	764	-1905	1481	-1521	-1356	-842
95644978	36	102	102	102	1931	-2300	-1138	-1523	-1342	-844
95649238	36	97	97	97	1460	-1065	-2494	-1520	-1329	-851
95653505	36	93	93	93	-76	-1219	-1983	-1518	-1323	-855
95657781	36	96	96	96	-2425	-1210	-1219	-1516	-1325	-857
95662018	36	96	96	96	-4100	-926	-435	-1513	-1334	-856
95666322	36	92	92	92	-3209	-2271	921	-1515	-1340	-850
95670729	36	93	93	93	-2140	-3464	1860	-1522	-1341	-841
95675055	36	94	94	94	-1457	-3153	1424	-1527	-1340	-833
95679396	36	89	89	89	-337	-2233	808	-1529	-1335	-827
95683685	36	86	86	86	-285	-942	-927	-1526	-1329	-828
95739909	36	89	89	89	-883	-88	-2307	-1520	-1326	-833
95744448	36	88	88	88	-1609	88	-3447	-1514	-1325	-844
95748735	36	78	78	78	-2464	-732	-4250	-1510	-1328	-857
95753103	36	62	62	62	-2320	-1836	-3350	-1511	-1331	-867
95757382	36	47	47	47	-3239	-2347	-2335	-1514	-1337	-874
95761696	36	33	33	33	-4604	-2761	-1574	-1518	-1349	-877
95765969	36	27	27	27	-4303	-3486	-613	-1525	-1360	-877
95770262	36	33	33	33	-3875	-3505	-230	-1533	-1369	-876
95774535	36	30	30	30	-3872	-1109	-396	-1530	-1378	-875
95778840	36	25	25	25	-2654	-261	-659	-1525	-1382	-875
95783121	36	25	25	25	-270	-665	-1567	-1521	-1377	-880
95787380	36	21	21	21	289	-553	-2181	-1517	-1371	-886
95791753	36	13	13	13	-631	-2155	-2316	-1519	-1367	-893
95796016	36	5	5	5	-1822	-4375	-2012	-1529	-1369	-899
95800308	36	5	5	5	-3664	-4825	-2171	-1541	-1378	-905
95804664	36	9	9	9	-5204	-3935	-2282	-1549	-1392	-912
95808947	36	11	11	11	-5342	-2213	-1404	-1551	-1407	-916
95813292	36	14	14	14	-2984	-581	-687	-1547	-1413	-917
95817580	36	16	16	16	83	162	290	-1540	-1406	-914
95821851	36	9	9	9	1167	50	283	-1533	-1396	-911
95826220	36	2	2	2	1314	-2238	-1648	-1536	-1386	-916
95830464	36	7	7	7	297	-4522	-3426	-1546	-1379	-927
95834725	36	8	8	8	-2912	-4808	-3556	-1558	-1385	-939
95838984	36	2	2	2	-4612	-3882	-1807	-1567	-1397	-944
95843254	36	9	9	9	-4143	-2920	353	-1572	-1407	-942
95847531	36	11	11	11	-2489	-751	1897	-1569	-1411	-933
95851797	36	9	9	9	502	744	1443	-1559	-1403	-926
95856179	36	14	14	14	2657	-1036	-247	-1557	-1387	-926
95860425	36	14	14	14	2835	-2363	-1537	-1560	-1371	-930
95864789	36	13	13	13	762	-3103	-2564	-1566	-1362	-938
95869059	36	12	12	12	-2844	-3979	-2460	-1575	-1367	-946
95873337	36	11	11	11	-4533	-3783	-1372	-1583	-1379	-950
95877665	36	14	14	14	-4234	-3208	315	-1589	-1390	-947
95881938	36	13	13	13	-3157	-1911	1567	-1590	-1396	-940
95886309	36	12	12	12	-1413	-1046	1741	-1588	-1396	-932
95890568	36	17	17	17	983	-1667	841	-1588	-1387	-927
95894836	36	22	22	22	1497	-1292	-729	-1587	-1375	-929
95899220	36	24	24	24	-713	-1742	-1669	-1587	-1372	-933
95903606	36	20	20	20	-1318	-3268	-1503	-1594	-1371	-938
95908010	36	17	17	17	-2505	-3722	-569	-1602	-1375	-939
95912399	36	9	9	9	-3851	-3328	-157	-1608	-1384	-938
95916917	36	7	7	7	-3155	-3326	-243	-1615	-1391	-938
95921331	36	15	15	15	-2212	-3289	85	-1621	-1394	-936
95925757	36	19	19	19	-1668	-1411	585	-1620	-1394	-932
95930177	36	22	22	22	-1312	-582	529	-1616	-1394	-929
95934602	36	21	21	21	-321	-1041	347	-1614	-1389	-926
95939101	36	16	16	16	315	-1495	-642	-1614	-1382	-927
95943493	36	13	13	13	-227	-2785	-1788	-1618	-1377	-932
95947992	36	7	7	7	-1924	-4232	-1314	-1628	-1379	-936
95952371	36	6	6	6	-3213	-4546	-230	-1639	-1386	-935
95956823	36	11	11	11	-4270	-3812	732	-1648	-1397	-931
95961232	36	11	11	11	-5001	-1492	1187	-1647	-1410	-925
95965657	36	12	12	12	-3034	-10	1107	-1641	-1416	-920
95970077	36	21	21	21	381	-418	849	-1637	-1409	-915
95974472	36	17	17	17	1365	-422	130	-1632	-1398	-913
95978974	36	7	7	7	867	-2290	-751	-1635	-1389	-914
95983377	36	6	6	6	98	-4683	-1934	-1646	-1383	-920
95987906	36	6	6	6	-2714	-4785	-1820	-1658	-1388	-925
95992279	36	2	2	2	-5168	-3486	88	-1666	-1402	-923
95996817	36	1	1	1	-4997	-2013	1815	-1667	-1416	-915
96001248	36	3	3	3	-2800	-402	2619	-1662	-1421	-903
96006121	36	3	3	3	365	592	2160	-1654	-1414	-894
96010665	36	1	1	1	2407	-756	715	-1650	-1399	-889
96015107	36	-3	-3	-3	2399	-2584	-469	-1654	-1384	-889
96019512	36	-7	-7	-7	731	-3838	-642	-1662	-1376	-890
96023954	36	-14	-14	-14	-2496	-4231	-1001	-1672	-1380	-892
96028361	36	-21	-21	-21	-4024	-3296	-797	-1679	-1391	-893
96032798	36	-16	-16	-16	-3344	-2766	771	-1683	-1398	-889
96037201	36	-17	-17	-17	-2190	-1497	2528	-1682	-1402	-878
96041727	36	-24	-24	-24	-657	-263	3277	-1677	-1399	-864
96046173	36	-22	-22	-22	1335	-1636	2528	-1677	-1389	-853
96050700	36	-23	-23	-23	1744	-2007	712	-1678	-1377	-848
